Name,Surname,Function,Company,Vehicle,Weight,Height,Postal_code
Julieta,Barbosa,Judge,Elek-Tek,1992 Holden Statesman,83,161,
Leticia,Carvalho,Judiciary interpreter,Littler's,2003 Suzuki Baleno,95.8,153,
Matilde,Ribeiro,Judiciary interpreter,Olson Electronics,2001 Infiniti QX4,74.1,157,
Paulo,Ribeiro,Judiciary translator,Super Saver Foods,2006 Nissan X-Trail,74.6,183,
Bianca,Barros,Junior high school teacher,Balanced Fortune,1997 Toyota Camry,78.8,169,
Diego,Rocha,Junior high school teacher,Bettendorf's,2002 Volkswagen Golf,93.7,175,
Gabriel,Costa,Junior high school teacher,Chandlers,2005 BMW 525,86.6,172,
Marisa,Cavalcanti,Junior high school teacher,Standard Brands Paint Company,2004 Nissan X-Trail,91.7,156,
Andre,Martins,Justice of the peace,Asian Plan,2009 Jeep Liberty,82.6,167,
Alice,Melo,Keeper,Omni Superstore,1994 BMW 840,76.9,152,
Leonardo,Goncalves,Keeper,Superior Appraisals,2007 Ford Falcon,97.3,174,
Yasmin,Silva,Kennel attendant,On Cue,2002 Lexus ES,91,166,
Ana,Cunha,Keying machine operator,Adapt,2010 Acura TL,74.3,172,
Enzo,Barros,Keypunch operator,Friendly Interior Design,1998 Venturi Atlantique,66.6,170,
Kaua,Gomes,Keypunch operator,Penn Fruit,2010 Nissan Versa,105.7,163,
Vinicius,Martins,Keypunch technician,Sunny's Surplus,1999 Oldsmobile Alero,84.7,176,
Jalio,Ribeiro,Kindergarten teacher,Castle Realty,2015 Volkswagen Golf R,66.1,185,
Giovanna,Martins,Knitting machine operator,Shoe Kicks,2004 Samsung SM3,93.8,160,
Fernanda,Correia,Labor relations director,Integra Design,2003 Ford Econovan,97.4,152,
Lucas,Melo,Labor relations director,Omni Superstore,1999 Volkswagen Parati,86.7,171,
Eduardo,Souza,Labor relations director,Soul Sounds Unlimited,1995 Subaru Alfa,110.1,170,
Eduarda,Ribeiro,Labor relations manager,Fireball,1998 Renault Grand Espace,52.2,160,
Kaua,Pinto,Labor training manager,Odyssey Records & Tapes,2009 Toyota Camry,70.9,169,
Miguel,Pinto,Labor training manager,Olson's Market,2007 Ford E-250,81.4,182,
Andre,Barbosa,Laboratory animal technician,Dee's Drive-In,1992 Toyota Carina,106.6,180,
Douglas,Barbosa,Laboratory animal technician,Sammy's Record Shack,2012 Nissan Leaf,95.2,169,
Emilly,Costa,Laboratory animal technologist,Corpbay,2000 Skoda Fabia,58.3,158,31.530-250
Livia,Martins,Laboratory animal technologist,Infinity Investment Plan,2006 Chevrolet Colorado,68,169,
Alice,Ribeiro,Laboratory animal technologist,Market Basket,2002 Vauxhall Meriva,96.1,155,
Marisa,Fernandes,Laborer,Cavages,1995 Subaru Legacy,58,167,
Gustavo,Pereira,Laborer,HouseWorks!,1994 Seat Toledo,74.7,178,
Kauan,Sousa,LAN manager,Sunburst Garden Management,2001 Suzuki Wagon R+,77.9,183,
Giovanna,Oliveira,LAN manager,Super Shops,2001 BMW Compact,72.2,173,
Guilherme,Azevedo,Land acquisition manager,Isaly's,2006 Hyundai Matrix,78.8,186,
Kai,Alves,Land acquisition manager,One-Up Realty,2005 Isuzu Ascender,98.1,180,
Bianca,Oliveira,Land agent,Monmax,2003 Kia Towner,66.3,159,
Joao,Ribeiro,Land agent,Sav-A-Center,2003 Lamborghini Diablo,79.4,180,
Caio,Cardoso,Land agent,Weathervane,2011 Brilliance BS4,93.5,170,
Renan,Castro,Land surveyor,Omni Tech,1997 Jaguar XK,75.3,175,
Melissa,Cunha,Landscape architect,Envirotecture Design Service,2002 Toyota ES 3,61.6,163,
Marina,Fernandes,Landscape contractor,Hoyden,2010 Renault Modus,53.2,167,
Laura,Alves,Landscape contractor,National Lumber,2008 Jaguar XKR,67.5,160,
Caio,Lima,Landscape contractor,Planet Pizza,2003 Mazda 3,63.7,174,
Julieta,Rodrigues,Landscape designer,Maxi-Tech,2010 Dodge Ram,72.8,158,
Anna,Cardoso,Landscaping worker,Gold Medal,2001 Peugeot 806,58,150,
Luan,Cardoso,Landscaping worker,Integra Investment Service,1997 Nissan Maxima,76.4,173,
Arthur,Ferreira,Language pathologist,Golf Augusta Pro Shops,1992 Buick Century,92.6,169,
Isabela,Cardoso,Language pathologist,Wise Appraisals,2004 Chevrolet Colorado,89.2,174,
Isabelle,Martins,Lathe and turning machine tool setter,Mikrotechnic,2008 Infiniti FX,98.4,165,
Marisa,Dias,Lathe and turning machine tool tender,Dreamscape Garden Care,2000 Volvo V70,53.6,166,
Larissa,Souza,Lathe and turning machine tool tender,Life Map Planners,1996 Nissan Laurel,65.5,158,
Leonor,Cardoso,Lather,Wild Oats Markets,2008 Acura RDX,91,155,
Jalia,Gomes,Laundry and dry-cleaning worker,Peter Reeves,1993 Subaru Mini Jumbo,76.8,155,
Livia,Ferreira,Lawyer,Ideal Garden Maintenance,1998 MG RV8,79.6,164,
Kaua,Carvalho,Lawyer,LaBelle's,2004 Opel Omega,62.6,173,
Isabela,Santos,Lawyer,Lazysize,2011 Audi Q7,59.3,155,
Kauan,Santos,Layout artist,Smitty's Marketplace,2009 Renault Megane,97.1,187,
Davi,Goncalves,Lay-out worker,Chandlers,2007 Hyundai Elantra,65.6,184,
Luan,Almeida,Lay-out worker,Garden Master,2001 Lotus Exige,104.1,178,
Yasmin,Dias,Lead abatement worker,Greenwich IGA,1999 Daihatsu Rocky,55.8,158,
Julieta,Araujo,Lead abatement worker,Kragen Auto Parts,2008 Fiat Albea,67.6,170,
Luana,Sousa,Lead abatement worker,Master Builder Design Services,1994 Ford Contour,88.9,160,
Danilo,Ferreira,Lead abatement worker,Pay'N Takeit,1998 Mitsubishi Galant,76.2,179,
Danilo,Costa,Lease buyer,Cut Above,2002 Mercedes-Benz E,73.6,175,
Nicolash,Lima,Leasing consultant,First Rate Choice,2002 Vector M12,93.8,167,
Gustavo,Azevedo,Leasing manager,CompuAdd,2010 Toyota 4Runner,95.7,180,
Mariana,Pereira,Leasing manager,Mars Music,1993 Fiat Vivace,94.5,156,
Gabriela,Araujo,Leasing manager,Roberd's,2008 Volvo V50,63,151,
Livia,Carvalho,Leasing manager,Spaceage Stereo,2012 Ford F-450,51.7,173,
Vitor,Sousa,Leather worker,AJ Bayless,2001 Mazda CU-X,81,181,
Vitor,Pinto,Leather worker,Burger Chef,1995 Volvo 440,86.8,182,
Gabrielle,Cardoso,Leather worker,"Sounds Great, Inc",1995 Fiat Punto,53.6,166,
Clara,Alves,Leather worker,The Fox and Hound ,2001 SsangYong Rexton,62.7,159,
Vitoria,Sousa,Legal secretary,Mission Realty,1997 Mercedes-Benz E,61.7,167,
Victor,Fernandes,Legislator,Boston Sea Party,2005 Toyota Previa,75.6,169,
Nicole,Gomes,Letterpress operator,Magik Gray,2011 Opel Astra,81.1,152,
Diego,Sousa,Librarian,Superior Interactive,1999 Mazda MPV,84.8,180,
Vitor,Barros,Library aide,Casa Bonita,2006 Skoda Fabia,71.7,189,
Alice,Ferreira,Library aide,Earl Abel's,2009 Honda Insight,104.1,154,
Camila,Costa,Library aide,Jay Jacobs,2006 Saab 9-5,84.1,168,
Samuel,Araujo,Library aide,Mission You,2012 Nissan Quest,75.1,185,
Manuela,Cardoso,Library clerk,Avant Garde Appraisal Group,2012 Jeep Grand Cherokee,70.5,173,
Erick,Souza,Library clerk,Thrift Auto Parts,2004 Mahindra Armada,89.9,184,
Isabela,Costa,Library media aide,Flipside Records,2002 BMW 520,88.9,157,
Beatrice,Silva,Library media aide,Hills Supermarkets,1998 Bentley Continental,84.8,155,
Vitor,Dias,Library media assistant,Home Centers,2015 BMW M6,79,179,
Melissa,Silva,Library media specialist,Reliable Garden Management,1996 Chevrolet Caprice,100.3,159,
Victor,Cardoso,Library technical assistant,Giant Open Air,2014 Dodge Avenger,95.6,181,
Jalia,Pereira,Library technician,BASCO,2003 Alpina B3,97.2,154,
Leila,Araujo,Library technician,Monit,2012 Brilliance BS4,60.2,157,
Marcos,Melo,Library technician,"Sounds Great, Inc",2009 Daihatsu Terios,76.6,176,
Eduarda,Cunha,Licensed clinical social worker,Incluesiv,2008 Audi TT,61.7,170,
Tomas,Rocha,Licensed practical nurse,Golden Joy,2001 Volkswagen Golf,95.9,162,
Evelyn,Alves,Licensed vocational nurse,Gamble-Skogmo,2003 Mahindra Bolero,102.4,170,
Tomas,Santos,Licensed vocational nurse,Target Source,2005 Honda Element,88.3,166,
Arthur,Lima,Licensed vocational nurse,Vibrant Man,2002 Ford Escape,77,179,
Miguel,Carvalho,Lift truck operator,Mission You,2011 Mitsubishi Colt,59.1,174,
Vitoria,Castro,Light truck driver,Joseph Magnin,2003 Toyota Avalon,67,158,
Emily,Pinto,Limnologist,Western Auto,2015 Chevrolet Silverado 1500,73.5,173,
Diogo,Rocha,Line cook,I. Magnin,1994 Beijing BJ 2020,95.6,179,
Luis,Sousa,Line erector,Checker Auto Parts,2003 Nissan Almera,102.1,174,
Victor,Cunha,Line installer,Gamma Gas,2012 Dodge Grand Caravan,107.3,185,
Kaua,Cavalcanti,Line installer,Oshman's,1996 Fiat Armadillo,84.2,179,
Eduardo,Azevedo,Line repairer,Fisher Foods,2012 Toyota Tundra,77,172,
Kaua,Pinto,Line repairer,Zantigo,2000 Ferrari 360,103.2,174,
Gabrielly,Costa,Linemen,Dick Fischers,2008 Pontiac Grand Prix,65.7,172,
Fabio,Fernandes,Linemen,Gemco,2003 Porsche Cayenne,113,178,
Mariana,Pereira,Linguistic anthropologist,CompuAdd,2001 ZAZ Wagon,92.1,169,
Amanda,Souza,Linguistic anthropologist,Official All Star Cafe,1997 Peugeot Nautilus,57.2,165,
Giovanna,Goncalves,Liquid waste treatment plant and system operator,Crafts Canada,1993 TVR Griffith,87.2,160,
Diego,Costa,Literary interpreter,Media Play,2014 Mitsubishi Lancer Evolution,75.3,168,
Thais,Gomes,Literary interpreter,StopGrey,2007 Dodge Charger RT Concept,61.7,161,
Leonardo,Ribeiro,Lithographer,Earl Abel's,2006 Mercedes-Benz SLK,80.7,168,
Julia,Cunha,Lithographer,Mission G,2009 Hyundai i30,66.3,158,
Leonardo,Lima,Lithographer,Plan Smart,2008 Dodge Caliber,96.9,179,
Leonardo,Pinto,Livestock farmer,Blue Boar Cafeterias,1992 Buick Regal,57.5,187,
Nicolash,Costa,Livestock farmer,Grade A Investment,1993 Toyota Previa,91.9,183,
Giovana,Barros,Load dispatcher,Freedom Map,2012 Acura RDX,97.2,171,
Nicole,Cunha,Loan authorizer,Buckeye Furniture,2008 Lotus Elise,100.8,154,
Tania,Rocha,Loan authorizer,Burstein-Applebee,1996 Chevrolet APV,81.3,157,
Rebeca,Dias,Loan clerk,Cal Stereo,2006 Jeep Cherokee,90.6,164,
Carla,Gomes,Loan clerk,Hughes & Hatcher,2012 Honda Accord,72.1,161,
Martim,Barbosa,Loan clerk,Multicerv,1992 Opel Omega,93.8,188,
Julia,Melo,Loan clerk,Record & Tape Outlet,2010 Aston Martin Rapide,51.7,157,
Diego,Gomes,Loan collection officer,Quality Event Planner,1999 Ferrari 360,97,165,
Fabio,Araujo,Loan counselor,Helping Hand,2008 Kia Magentis,64.2,178,
Matilde,Melo,Loan counselor,Quest Technology Service,2011 Peugeot 207,81.8,153,
Lucas,Carvalho,Loan officer,Federated Group,2006 Bentley Continental,87.6,171,
Vinicius,Fernandes,Loan officer,Muscle Factory,2004 Opel Corsa,110.4,172,
Vinicius,Barros,Loan processing clerk,Exact Solutions,2000 Volkswagen Beetle,59.5,174,
Isabella,Ribeiro,Loan service clerk,Listenin' Booth,2005 Chevrolet Avalanche,51.4,153,
Carla,Martins,Loan service clerk,MagnaSolution,2014 Lexus LS 460,60.1,166,
Larissa,Alves,Loan underwriter,Lindsley's Lumber,1994 Mazda 323,95.2,161,31.360-040
Antonio,Fernandes,Lobbyist,Locost Accessories,2015 Toyota RAV4,84.4,168,
Andre,Ferreira,Local account executive,Circus World,2011 GMC Envoy,86,167,
Gabrielly,Gomes,Local controller,Freedom Map,2003 BMW 325,65.1,173,28.980-816
Diego,Ferreira,Local controller,Grand Union,2005 Daihatsu Sirion,92.9,164,
Felipe,Goncalves,Local controller,Record Town,2009 Opel Agila,63.9,177,
Luis,Alves,Local transit bus driver,Widdmann,2009 Hyundai Genesis,74.8,182,
Leonardo,Silva,Local truck driver,DGS HomeSource,2007 Skoda Superb,90.3,167,
Giovanna,Fernandes,Localization translator,Las Vegas Yard Management,2011 Seat Exeo,77.5,159,
Brenda,Dias,Localization translator,Personal & Corporate Design,1992 Ford Fairlane,67.3,171,
Bruna,Souza,Locksmith,Media Play,1994 Mercedes-Benz C,75.6,170,
Julieta,Lima,Lodging manager,Rainbow Life,2005 GMC Savana,58.7,161,
Enzo,Correia,Log marker,Gantos,1992 Lexus SC,81.8,169,
Nicolash,Cunha,Log marker,Pro Star,2005 Saturn L,86.5,169,
Raissa,Dias,Log marker,Shoe Kicks,2001 Kia Sephia II,92.4,155,
Larissa,Santos,Log mover,The Spotted Cougar,2009 Land Rover Defender,96.8,154,
Gustavo,Rocha,Logging equipment operator,Kessel Food Market,2003 Alpina B3,72.7,180,
Ana,Lima,Logging equipment operator,McDuff,2007 BMW Convertible,80.1,169,
Kauan,Correia,Logistician,Fayva,2004 Chevrolet Uplander,71.8,188,
Vitor,Ribeiro,Logistician,JumboSports,2005 Rolls-Royce Silver Seraph,100.4,182,
Jalia,Barbosa,Logistician,Prahject Planner,2011 Nissan Micra,98.5,163,
Erick,Alves,Logistician,Sure Save,1993 Mercedes-Benz SL,98.2,176,
Manuela,Oliveira,Long haul truck driver,Eisner Food Stores,2012 Maserati GranTurismo,99.5,173,
Miguel,Silva,Longshoremen,Belle Ladi,1996 Subaru Vivio,75.3,188,
Luana,Ferreira,Long-term care facility nurse,Infinite Wealth,2002 Samsung SM3,63.3,163,
Matilde,Barbosa,Loss prevention agent,Practi-Plan,2003 Tata Indigo,100.2,161,
Lavinia,Castro,Loss prevention agent,Rivera Property Maintenance,2012 Buick Enclave,69.7,167,
Fabio,Melo,Lyricist,Chandlers,2006 Ford Five Hundred,99.9,182,
Melissa,Araujo,Lyricist,Circuit City,2005 Rover 25,102.1,168,
Antonio,Costa,Machine feeder,Alpha Beta,1995 Tata E,70.2,173,
Marisa,Almeida,Machine feeder,Grade A Investment,2002 Peugeot Partner,64.6,174,
Rebeca,Pereira,Machine feeder,Total Network Development,2001 Toyota Solara,59.6,167,
Vinicius,Pereira,Machine offbearer,KG Menswear,2001 Nissan X-Trail,70.6,184,31.970-330
Tomas,Goncalves,Machine offbearer,Omni Source,1996 Chevrolet APV,65.6,170,
Igor,Correia,Machine tender,Joseph Magnin,2009 Tata Safari,87.1,184,
Larissa,Martins,Machinery maintenance mechanic,Manning's Cafeterias,2006 Subaru Impreza,86.6,170,
Igor,Azevedo,Machinist,E-zhe Source,2001 Acura RSX,77.7,184,
Julian,Melo,Macromolecular chemist,Best Products,2003 Buick Blackhawk,84.6,176,
Julieta,Almeida,Magnetic resonance (MR) technologist,Star Assistance,2001 Cadillac Vizon,51.4,162,
Agatha,Rocha,Maid,Market Basket,2004 Lotus Elise,84.4,173,
Carla,Cunha,Mail carrier,Mission Realty,1996 Plymouth Prowler,98.1,173,
Nicolash,Pereira,Mail carrier,Peaches,2008 Volkswagen Commercial,82.2,177,
Giovana,Castro,Mail handler,Allied Radio,2005 TVR Cerbera,101.9,170,
Nicole,Ribeiro,Mail handler,Powerbod,2002 Isuzu D-MAX,50.6,165,
Joao,Lima,Mail machine operator,Hoyden,1996 Lotus Esprit,65.2,167,
Paulo,Goncalves,Mail machine operator,Maloley's Finer Foods,2012 Nissan NV,112.6,186,
Daniel,Ribeiro,Mail processing machine operator,Sammy's Record Shack,2014 Mitsubishi Lancer Evolution,90.1,171,
Rafaela,Pereira,Mail superintendent,Intelli Wealth Group,1999 Lotus Elise,73.5,155,
Carolina,Lima,Mail superintendent,Shoe Town,1993 Mini MK VI,72.2,164,
Carla,Barros,Maintenance electrician,Warshal's,2010 Dodge Journey,65.1,165,
Ryan,Barros,Maintenance machinist,House 2 Home,2006 Rover 25,88.1,186,29.027-018
Pedro,Silva,Maintenance machinist,Magik Grey,1998 Dodge Ram,100,168,
Arthur,Carvalho,Maintenance technician,Lawnscape Garden Maintenance,2003 Renault Megane,92.1,181,
Nicolash,Lima,Maitre d,Gallenkamp,2008 Subaru Impreza,54.7,179,
Gabrielle,Pinto,Maitre d,Heslop's,2006 Skoda Roomster,61.2,163,
Luis,Sousa,Management accountant,Monsource,2015 Mitsubishi Outlander Sport,98.6,184,
Agatha,Cardoso,Management analyst,"Deco Refreshments, Inc.",1994 Toyota Previa,97.5,172,
Alex,Silva,Management assistant,Intelacard,2000 Nissan Pathfinder,94.3,189,
Thais,Almeida,Management development specialist,Envirotecture Design,2005 Renault Grand Scenic,97.1,163,30.525-160
Vitoria,Alves,Management development specialist,Tape World,2009 Volvo S80,51.3,174,
Julian,Gomes,Management development specialist,Universo Realtors,1992 Opel Calibra,109,185,
Diogo,Cavalcanti,Management dietitian,Casa Bonita,2009 Honda Accord,101.4,176,
Kauan,Oliveira,Management dietitian,WWW Realty,2004 Toyota Corolla,62.3,165,
Diego,Sousa,Manager,Century House,2014 Cadillac Escalade,64.7,169,
Aline,Alves,Managing editor,Multi-Systems Merchant Services,1999 Volkswagen Golf,70.7,168,69.908-620
Giovanna,Dias,Managing editor,National Tea,2010 Citroen C8,84.7,152,
Tania,Oliveira,Manicurist,Personal & Corporate Design,2014 Lexus GS 450h,66.4,160,
Sophia,Correia,Manicurist,Wild Oats Markets,2001 MG Rover,94.4,163,
Enzo,Oliveira,Manifold binding worker,Channel Home Centers,2005 Rolls-Royce Park Ward,89.3,183,
Lavinia,Almeida,Manpower development advisor,Super Shops,1993 Daewoo Brougham,52.9,161,
Aline,Correia,Manpower development manager,University Stereo,1998 Bentley Brooklands,77.9,164,
Isabela,Alves,Manufactured building and mobile home installer,Laura Ashley Mother & Child,1999 Toyota Bandeirante,95.2,163,
Danilo,Melo,Manufactured building and mobile home installer,Rose Records,2002 Maybach 57,98.1,174,04.850-180
Fernanda,Silva,Manufacturers,Adaptas,1999 Audi A6,65.5,164,
Sarah,Goncalves,Manufacturers,Custom Sound,2014 Lexus IS 250 C,68.2,160,30.516-310
Gabrielle,Araujo,Manufacturers,Liberal,1993 Cadillac Seville,56.9,175,
Julia,Pinto,Marble setter,Virgin Megastores,2009 SsangYong Musso,70.4,174,13.064-786
Kauan,Rodrigues,Margin clerk,Environ Architectural Design,2007 Volkswagen Multivan,91.1,188,
Diego,Silva,Marine,LoRay,2005 ZAZ Slavuta,65.2,174,
Maria,Rocha,Marine electronics technician,FlowerTime,2010 Volkswagen Routan,58,171,
Livia,Carvalho,Marine equipment mechanic,"10,000 Auto Parts",1995 Daewoo Prince,84.1,163,
Caua,Goncalves,Marine equipment mechanic,Linens 'n Things,2010 Lexus ES,81.1,175,29.048-515
Murilo,Cavalcanti,Marine oiler,Electronic Geek,2007 Ford Ecosport,106.3,181,
Camila,Almeida,Marine surveyor,Planetbiz,2008 Toyota Celica,79.5,155,
Miguel,Gomes,Mariner,Dun Rite Lawn Maintenance,2007 Lexus IS,70.6,181,
Leila,Barros,Mariner,Huyler's,1992 Toyota Sera,64.7,158,
Felipe,Pereira,Mariner,Lindsley's Lumber,2002 Audi RS4,72.4,182,
Luis,Lima,Market and survey researcher,Knox Lumber,1995 Dodge Spirit,82.5,181,
Andre,Cardoso,Marketing coordinator,Super Shops,2015 Audi A3 e-tron,94,177,
Sarah,Cavalcanti,Marketing manager,Coast to Coast Hardware,2005 Land Rover Freelander,61.6,166,
Gabriel,Costa,Marketing manager,Opticomp,2012 Kia Sorento,113.8,188,
Kauan,Martins,Marketing research analyst,Sherman's,2010 Buick LaCrosse,87.3,169,
Jalio,Barbosa,Marketing specialist,Cut Rite,1996 TVR Cerbera,114.7,168,
Isabela,Castro,Marketing specialist,Delchamps,2009 Lotus Elise,63.4,163,
Leila,Gomes,Marketing specialist,Success Is Yours,2002 Hummer H2,96.7,154,29.162-018
Raissa,Castro,Marketing specialist,The Polka Dot Bear Tavern,2002 Ferrari Rossa,61.5,152,
Matilde,Carvalho,Marking and identification printing machine operator,MegaSolutions,2011 Ford Ecosport,76.3,169,
Rebeca,Araujo,Marking and identification printing machine operator,Vitagee,2006 MG ZT-T,79.3,167,
Miguel,Castro,Marriage and family therapist,Rainbow Life,1999 Renault Grand Espace,77.9,180,
Julieta,Azevedo,Marshal,Jafco,2011 Chevrolet Corvette,94.3,153,
Martim,Gomes,Marshal,Polk Brothers,2007 Suzuki Reno,101.2,171,
Alex,Lima,Masseuse,Furrow's,2010 Koenigsegg CCX,81.8,173,
Agatha,Cavalcanti,Material dispatching,Anderson-Little,2014 Porsche Boxster,48.8,161,
Bruna,Melo,Material dispatching,Xray Eye & Vision Clinics,1993 Rover 800,64.3,155,
Kauan,Alves,Material moving occupation,Twin Electronics,2003 Mazda Roadster,69.3,164,
Gustavo,Oliveira,Material recording,Auto Works,2007 GMC Acadia,104,177,
Estevan,Fernandes,Material recording,Kleinhans,2015 Audi A3 e-tron,64.3,181,
Murilo,Rodrigues,Material scheduling,JasmineSola,1999 Daihatsu Move,67.8,164,
Melissa,Azevedo,Materials scientist,Buck Alley Lumber,2006 Lincoln Mark LT,104.7,153,
Ryan,Correia,Materials scientist,Forest City,2008 Lincoln Navigator,85.6,187,31.270-400
Tania,Ribeiro,Materials scientist,Metro,2005 Kia Towner,96.8,157,
Anna,Pinto,Mathematical technician,Terra Nova Garden Services,2005 Volkswagen Phaeton,81,167,
Tania,Correia,Mathematical technician,Wag's,2004 ZAZ Slavuta,71.8,163,
Vitoria,Souza,Mathematician,Nickerson Farms,2004 Jaguar XK,71.1,158,30.575-640
Gabrielly,Melo,Maxillofacial radiologist,Bugle Boy,1994 Toyota Century,91.9,156,
Lavinia,Oliveira,Maxillofacial surgeon,China Coast,1996 Renault Spider,73.2,153,
Jalia,Almeida,Meat cutter,Forest City,2012 Ford Mustang,96.2,164,
Carla,Santos,Meat cutter,Grass Roots Yard Services,2010 Volkswagen Sharan,69.8,152,
Carla,Azevedo,Meat cutter,Pantry Food Stores,2000 Skoda Fabia,59.6,166,
Luiza,Oliveira,Meat cutter,Sound Warehouse,2001 Saab 9-X,82.4,173,
Aline,Azevedo,Meatcutter,Adray,2012 Mini Cooper Coupe,76.8,154,
Tiago,Dias,Mechanic,Idea Infinity,2012 Daihatsu Materia,75.6,187,
Julia,Carvalho,Mechanical engineering technician,Huyler's,2007 Mini Cooper,89.8,163,
Brenda,Araujo,Mechanical engineering technician,W. Bell & Co.,2001 Mitsubishi Galant,90.8,161,
Gabriel,Pinto,Mechanical engineering technician,Wetson's,2011 Mercedes-Benz Vito,109.1,171,
Tomas,Rodrigues,Media outreach specialist,Clemens Markets,2015 Honda Accord Hybrid,60.9,179,
Gabriel,Ferreira,Media outreach specialist,Exact Solutions,2015 Ford Mustang,74.1,184,
Beatrice,Castro,Media planner,The Serendipity Dip,2008 Renault Laguna,61.3,160,
Enzo,Almeida,Medical appliance technician,Life Map Planners,2008 Lincoln Mark LT,72.8,182,
Jalio,Lima,Medical assistant,Life's Gold,2004 Ferrari Superamerica,102,169,
Julian,Santos,Medical coder,Canal Villere,2009 Ford E-350,91.2,183,
Kauan,Silva,Medical coder,Dream Home Improvements,2009 Volvo S80,72.6,182,
Tiago,Lima,Medical coder,"Sounds Great, Inc",2001 Suzuki Vitara,97,168,
Marisa,Costa,Medical doctor,Body Toning,2012 Lotus Evora,92.1,165,
Nicolas,Barros,Medical equipment preparer,Williams Bros.,2002 Cadillac CTS,90.7,184,
Maria,Barros,Medical equipment repairer,Virgin Megastores,1992 Cadillac Brougham,95.5,172,
Carla,Ribeiro,Medical equipment repairer,Warner Brothers Studio Store,1992 Citroen C 15,72.5,167,
Samuel,Barros,Medical geographer,Price Savers,2000 Chevrolet Astro,79.2,178,
Lara,Sousa,Medical geographer,Sky High Financial Advice,2004 GAZ 3110,84.7,163,
Julieta,Carvalho,Medical interpreter,Pro Star Garden Management,2011 Mazda Tribute,58.4,170,
Pedro,Cavalcanti,Medical laboratory technician,Afforda,1999 Mazda MS-9,102.8,181,
Nicolas,Almeida,Medical laboratory technologist,Parklane Hosiery,2000 Opel Astra,104.1,188,
Luana,Castro,Medical laboratory technologist,Team Uno,2008 Ford GT,88.7,162,
Jalio,Ribeiro,Medical record coder,Erb Lumber,2002 Mazda MX-5 Miata,115.8,181,
Rafaela,Cavalcanti,Medical social worker,Fayva,2011 Volvo C70,66,172,
Julieta,Rocha,Medical technologist,Piece Goods Fabric,2009 Fiat Sedici,77.2,165,
Alice,Sousa,Medical transcriptionist,Olson's Market,2010 Chevrolet Camaro,94.8,160,
Gabriel,Pinto,Medical translator,Strength Gurus,1997 Oldsmobile Silhouette,82.2,168,
Gabriela,Rocha,Medicinal chemist,Hughes Markets,2006 Dodge Durango,93.4,168,
Tomas,Araujo,Meeting and convention planner,Hills Supermarkets,2001 Opel Astra,79.8,165,
Jalio,Pereira,Meeting and convention planner,Super Saver Foods,1995 Maserati Shamal,81.8,176,
Alice,Cavalcanti,Meeting manager,Formula Gray,2004 Mazda 6,69.4,154,
Lucas,Ribeiro,Meeting manager,Giant,2008 Nissan Versa,93.8,183,
Arthur,Pinto,Mental health assistant,Farrell's Ice Cream Parlour,1998 Mitsubishi Colt,94,168,
Leticia,Almeida,Mental health assistant,Magna Architectural Design,1997 Lamborghini Diablo,83.3,164,
Vitoria,Lima,Mental health assistant,Rogers Food Stores,2009 Mazda MX-5 Miata,69.2,168,
Otavio,Ferreira,Mental health social worker,Ruehl No. 925,2002 Chevrolet Relsamo,110.6,175,
Thiago,Rodrigues,Merchandise distributor,Simply Appraisals,2002 MG TF,83.3,181,
Breno,Oliveira,Merchandise distributor,Sunny's Surplus,2014 Infiniti Q50,95.2,186,
Diogo,Rocha,Merchandise manager,Circuit Design,2012 Maybach 57,76.8,184,
Felipe,Araujo,Merchandise manager,Ejecta,2015 Nissan Pathfinder,101.9,172,
Larissa,Alves,Messenger,Holly Tree Inn,2001 Alfa Romeo Spider,53.4,174,
Julieta,Araujo,Metal caster,Adaptas,2001 Chevrolet Malibu,87.2,166,
Vitoria,Santos,Metal caster,Enviro Architectural Designs,2003 Ford Excursion,81.5,154,
Rodrigo,Cavalcanti,Metal pourer,Great American Music,2006 Mazda Brown Collection Verisa,84.9,170,
Alex,Castro,Metal pourer,Realty Zone,2009 Ford Galaxy,114.1,179,
Evelyn,Melo,Metallurgical engineer,Road Runner Lawn Services,2007 Fiat Albea,101.2,164,
Tiago,Gomes,Metallurgical engineer,Turtle's Records & Tapes,2005 Ford Freestar,94.5,162,
Agatha,Pereira,Metal-refining furnace operator,Record & Tape Outlet,1996 Volvo V40,53,158,
Beatriz,Cavalcanti,Metal-refining furnace tender,Gamble-Skogmo,1994 Caterham Seven,50.8,151,
Giovana,Souza,Meteorologist,Record Bar,1997 Nissan Trailrunner,93.3,169,
Joao,Cavalcanti,Microbiologist,Manning's Cafeterias,2008 Audi TT,81.7,171,
Tiago,Dias,Microbiologist,Monk Home Improvements,1992 Chrysler Town & Country,91.2,171,
Amanda,Cunha,Microbiologist,Superior Interior Design,2000 Mazda 323,75.1,170,
Bianca,Almeida,Microbiology technologist,Carl Durfees,1997 Kia Capital,76.1,165,
Tomas,Souza,Microchip processor,Sunny's Surplus,2007 Chevrolet Express,72.7,168,31.570-570
Isabelle,Ribeiro,Midshipman,Home Quarters Warehouse,1999 Porsche Boxster,82.6,167,
Igor,Cardoso,Midshipman,Protean,2006 Aston Martin V8 Vantage,90.4,173,
Julieta,Azevedo,Midwife,Rex Audio Video Appliance,2010 Porsche Cayman,53.2,167,
